Cust Key,Cust Name,Cust Address,Cust City,Cust State,Cust Zip Code,Cust County,Cust Region,Cust Since,Cust Type,Cust Gender,Cust Age,Age Group,Civil Status,Loyalty Program,AGE_GROUP,CIVIL_STATUS,CUST_ADDRESS,CUST_AGE,CUST_CITY,CUST_COUNTY,CUST_GENDER,CUST_KEY,CUST_NAME,CUST_REGION,CUST_SINCE,CUST_STATE,CUST_TYPE,CUST_ZIP_CODE,BIRTHDAY_MONTH,BIRTHDAY_DAY,DOWNLOADED_APP,LOYALTY_TIER,LOYALTY_PROGRAM,Updated At,Updated By
1,Rosa Newton,418 Andrews Street,Costa Mesa,California,92628,"Orange County, California",West,2023-12-19 00:00:00,Individual,Female,40,36-55,Single,1,36-55,Single,418 Andrews Street,40.0,Costa Mesa,"Orange County, California",Female,1.0,Rosa Newton,West,2023-12-19,California,Individual,92628,1.0,16.0,0.0,,1,,
3,Erick Mooney,512 Bacon Hill,Vancouver,Washington,98668,"Clark County, Washington",West,2017-08-12 00:00:00,Individual,Male,45,36-55,Widowed,1,36-55,Widowed,512 Bacon Hill,45.0,Vancouver,"Clark County, Washington",Male,3.0,Erick Mooney,West,2017-08-12,Washington,Individual,98668,7.0,15.0,1.0,at_risk,1,,
5,Eduardo Rixon,364 Hamilton Lane,Columbus,Georgia,31908,"Muscogee County, Georgia",South,2012-01-20 00:00:00,Individual,Male,27,18-35,Divorced,1,18-35,Divorced,364 Hamilton Lane,27.0,Columbus,"Muscogee County, Georgia",Male,5.0,Eduardo Rixon,South,2012-01-20,Georgia,Individual,31908,12.0,6.0,1.0,at_risk,1,,
7,Daria Griffiths,779 Fairview Alley,Mountain View,California,94035,"Contra Costa County, California",West,2011-04-19 00:00:00,Individual,Female,28,18-35,Divorced,0,18-35,Divorced,779 Fairview Alley,28.0,Mountain View,"Contra Costa County, California",Female,7.0,Daria Griffiths,West,2011-04-19,California,Individual,94035,,,,,0,,
11,Daniel Lomax,803 Addison Alley,Gastonia,North Carolina,28052,"Gaston County, North Carolina",South,2015-04-23 00:00:00,Individual,Male,62,56+,Widowed,0,56+,Widowed,803 Addison Alley,62.0,Gastonia,"Gaston County, North Carolina",Male,11.0,Daniel Lomax,South,2015-04-23,North Carolina,Individual,28052,,,,,0,,
13,Natalie Mould,828 Cliff Street,Dayton,Ohio,45401,"Montgomery County, Ohio",Midwest,2020-03-06 00:00:00,Individual,Female,23,18-35,Single,0,18-35,Single,828 Cliff Street,23.0,Dayton,"Montgomery County, Ohio",Female,13.0,Natalie Mould,Midwest,2020-03-06,Ohio,Individual,45401,,,,,0,,
15,Camila Dowson,211 Boldero Rue,Birmingham,Alabama,35203,"Jefferson County, Alabama",South,2020-12-13 00:00:00,Individual,Female,28,18-35,Widowed,1,18-35,Widowed,211 Boldero Rue,28.0,Birmingham,"Jefferson County, Alabama",Female,15.0,Camila Dowson,South,2020-12-13,Alabama,Individual,35203,5.0,5.0,0.0,platinum_member,1,,
17,Matt Leigh,988 Kinglake Rue,Dallas,Texas,75260,"Dallas County, Texas",Southwest,2014-04-11 00:00:00,Individual,Male,42,36-55,Divorced,1,36-55,Divorced,988 Kinglake Rue,42.0,Dallas,"Dallas County, Texas",Male,17.0,Matt Leigh,Southwest,2014-04-11,Texas,Individual,75260,5.0,11.0,1.0,at_risk,1,,
19,Tom Fall,507 Cheltenham Tunnel,Lubbock,Texas,79402,"Lubbock County, Texas",Southwest,2005-12-01 00:00:00,Individual,Male,81,56+,Single,0,56+,Single,507 Cheltenham Tunnel,81.0,Lubbock,"Lubbock County, Texas",Male,19.0,Tom Fall,Southwest,2005-12-01,Texas,Individual,79402,,,,,0,,
21,Ronald Rogan,297 Kimberley Hill,St. Paul,Minnesota,55109,"Ramsey County, Minnesota",Midwest,2014-07-24 00:00:00,Individual,Male,29,18-35,Single,1,18-35,Single,297 Kimberley Hill,29.0,St. Paul,"Ramsey County, Minnesota",Male,21.0,Ronald Rogan,Midwest,2014-07-24,Minnesota,Individual,55109,8.0,29.0,1.0,at_risk,1,,
22,Rosalie Ebden,188 Arlington Hill,Mesquite,Texas,75149,"Dallas County, Texas",Southwest,2016-01-03 00:00:00,Individual,Female,42,36-55,Married,1,36-55,Married,188 Arlington Hill,42.0,Mesquite,"Dallas County, Texas",Female,22.0,Rosalie Ebden,Southwest,2016-01-03,Texas,Individual,75149,9.0,17.0,0.0,platinum_member,1,,
23,Owen Grady,458 Angela Rue,Rio Rancho,New Mexico,87124,"Bernalillo County, New Mexico",Southwest,2019-10-05 00:00:00,Individual,Male,43,36-55,Widowed,0,36-55,Widowed,458 Angela Rue,43.0,Rio Rancho,"Bernalillo County, New Mexico",Male,23.0,Owen Grady,Southwest,2019-10-05,New Mexico,Individual,87124,,,,,0,,
25,Kieth Morris,41 Bennett Grove,Camden,New Jersey,08101,"Camden County, New Jersey",East,2020-05-13 00:00:00,Individual,Male,33,18-35,Widowed,0,18-35,Widowed,41 Bennett Grove,33.0,Camden,"Camden County, New Jersey",Male,25.0,Kieth Morris,East,2020-05-13,New Jersey,Individual,08101,,,,,0,,
28,Jazmin Oswald,564 King Alley,Louisville,Kentucky,40231,"Jefferson County, Kentucky",South,2013-04-14 00:00:00,Individual,Female,51,36-55,Single,0,36-55,Single,564 King Alley,51.0,Louisville,"Jefferson County, Kentucky",Female,28.0,Jazmin Oswald,South,2013-04-14,Kentucky,Individual,40231,,,,,0,,
29,Harvey Reid,634 Arline Way,Fall River,Massachusetts,02720,"Bristol County, Massachusetts",East,2023-07-01 00:00:00,Individual,Male,52,36-55,Single,0,36-55,Single,634 Arline Way,52.0,Fall River,"Bristol County, Massachusetts",Male,29.0,Harvey Reid,East,2023-07-01,Massachusetts,Individual,02720,,,,,0,,
31,Chadwick Baker,934 Bolton Walk,Sacramento,California,95813,"Sacramento County, California",West,2024-04-23 00:00:00,Individual,Male,56,56+,Married,0,56+,Married,934 Bolton Walk,56.0,Sacramento,"Sacramento County, California",Male,31.0,Chadwick Baker,West,2024-04-23,California,Individual,95813,,,,,0,,
