Employee Key,Employee Name,Employee Type,Store Key,Store Area,Store Region,Reports To Key,Hire Date,Employment Status,Termination Date,Tenure Years,Compensation Type,Commission Rate,Annual Salary
1,Donald Parker,Ambassador,84.0,,,1641,2022-12-24 00:00:00,Active,,2.81,Commission,0.025,
2,Ryan Morales,Cashier,84.0,,,1641,2023-01-04 00:00:00,Active,,2.78,Commission,0.0125,
3,Brenda Nelson,Ambassador,84.0,,,1641,2023-02-13 00:00:00,Active,,2.67,Commission,0.025,
4,Daniel Adams,Cashier,84.0,,,1641,2021-11-15 00:00:00,Active,,3.92,Commission,0.015,
5,Larry Lewis,Cashier,84.0,,,1641,2018-09-10 00:00:00,Active,,7.1,Commission,0.0175,
6,Melissa Cruz,Cashier,84.0,,,1641,2019-02-18 00:00:00,Active,,6.66,Commission,0.0175,
7,Dorothy Jackson,Ambassador,84.0,,,1641,2019-01-28 00:00:00,Active,,6.72,Commission,0.035,
8,Helen Clark,Cashier,84.0,,,1641,2024-05-24 00:00:00,Active,,1.4,Commission,0.0125,
9,Stephanie Edwards,Cashier,84.0,,,1641,2018-09-17 00:00:00,Active,,7.08,Commission,0.0175,
10,Ryan Ward,Ambassador,84.0,,,1641,2016-05-08 00:00:00,Active,,9.44,Commission,0.035,
11,Stephen Rivera,Ambassador,122.0,,,1642,2020-08-17 00:00:00,Active,,5.16,Commission,0.035,
12,Donald Green,Senior Ambassador,122.0,,,1642,2017-05-15 00:00:00,Active,,8.42,Commission,0.045,
13,Jessica Sanchez,Cashier,122.0,,,1642,2025-08-11 00:00:00,Active,,0.18,Commission,0.01,
14,George Scott,Senior Ambassador,122.0,,,1642,2017-05-16 00:00:00,Terminated,2020-10-19 00:00:00,8.42,Commission,0.045,
15,Scott Hall,Senior Ambassador,122.0,,,1642,2022-12-07 00:00:00,Active,,2.86,Commission,0.035,
16,Kimberly Garcia,Senior Ambassador,122.0,,,1642,2020-11-19 00:00:00,Active,,4.91,Commission,0.04,
17,Amanda Green,Ambassador,122.0,,,1642,2024-08-13 00:00:00,Active,,1.18,Commission,0.025,
18,Jason Lewis,Cashier,725.0,,,1643,2021-07-03 00:00:00,Active,,4.29,Commission,0.015,
19,William Martinez,Cashier,725.0,,,1643,2023-05-12 00:00:00,Active,,2.43,Commission,0.0125,
20,Carol Hill,Lead,725.0,,,1643,2018-08-27 00:00:00,Terminated,2023-09-22 00:00:00,7.14,Commission,0.06,
