Salesperson Key,Salesperson Name,Store Key,Tier,Hire Date,Employment Status,Termination Date,Tenure Years,Commission Rate
1,Donald Parker,84,Ambassador,2022-12-24 00:00:00,Active,,2.81,0.025
2,Ryan Morales,84,Cashier,2023-01-04 00:00:00,Active,,2.78,0.0125
3,Brenda Nelson,84,Ambassador,2023-02-13 00:00:00,Active,,2.67,0.025
4,Daniel Adams,84,Cashier,2021-11-15 00:00:00,Active,,3.92,0.015
5,Larry Lewis,84,Cashier,2018-09-10 00:00:00,Active,,7.1,0.0175
6,Melissa Cruz,84,Cashier,2019-02-18 00:00:00,Active,,6.66,0.0175
7,Dorothy Jackson,84,Ambassador,2019-01-28 00:00:00,Active,,6.72,0.035
8,Helen Clark,84,Cashier,2024-05-24 00:00:00,Active,,1.4,0.0125
9,Stephanie Edwards,84,Cashier,2018-09-17 00:00:00,Active,,7.08,0.0175
10,Ryan Ward,84,Ambassador,2016-05-08 00:00:00,Active,,9.44,0.035
11,Stephen Rivera,122,Ambassador,2020-08-17 00:00:00,Active,,5.16,0.035
12,Donald Green,122,Senior Ambassador,2017-05-15 00:00:00,Active,,8.42,0.045
13,Jessica Sanchez,122,Cashier,2025-08-11 00:00:00,Active,,0.18,0.01
14,George Scott,122,Senior Ambassador,2017-05-16 00:00:00,Terminated,2020-10-19 00:00:00,8.42,0.045
15,Scott Hall,122,Senior Ambassador,2022-12-07 00:00:00,Active,,2.86,0.035
16,Kimberly Garcia,122,Senior Ambassador,2020-11-19 00:00:00,Active,,4.91,0.04
17,Amanda Green,122,Ambassador,2024-08-13 00:00:00,Active,,1.18,0.025
18,Jason Lewis,725,Cashier,2021-07-03 00:00:00,Active,,4.29,0.015
19,William Martinez,725,Cashier,2023-05-12 00:00:00,Active,,2.43,0.0125
20,Carol Hill,725,Lead,2018-08-27 00:00:00,Terminated,2023-09-22 00:00:00,7.14,0.06
21,Jeffrey Hernandez,725,Ambassador,2017-07-15 00:00:00,Active,,8.26,0.035
22,Anthony White,725,Cashier,2011-08-07 00:00:00,Active,,14.19,0.0175
23,Nicole Martin,725,Cashier,2024-09-30 00:00:00,Active,,1.04,0.0125
24,Pamela Cox,725,Lead,2020-01-09 00:00:00,Active,,5.77,0.06
25,Anna Davis,725,Ambassador,2023-04-22 00:00:00,Active,,2.49,0.025
26,Brenda Moore,725,Lead,2013-05-25 00:00:00,Active,,12.39,0.06
27,Barbara Baker,6,Ambassador,2014-04-29 00:00:00,Active,,11.47,0.035
28,Stephanie Allen,6,Senior Ambassador,2023-09-07 00:00:00,Terminated,2025-06-26 00:00:00,2.11,0.035
29,Betty Cox,6,Cashier,2024-02-06 00:00:00,Terminated,2025-03-11 00:00:00,1.69,0.0125
30,Jonathan Anderson,6,Ambassador,2017-07-22 00:00:00,Terminated,2024-02-16 00:00:00,8.24,0.035
31,Scott Campbell,6,Cashier,2013-07-28 00:00:00,Active,,12.22,0.0175
32,Helen Williams,6,Cashier,2012-11-30 00:00:00,Active,,12.88,0.0175
33,Ronald Garcia,6,Cashier,2013-06-21 00:00:00,Active,,12.32,0.0175
34,Cynthia Edwards,6,Senior Ambassador,2020-10-03 00:00:00,Active,,5.04,0.045
35,Cynthia Allen,6,Ambassador,2020-07-14 00:00:00,Active,,5.26,0.035
36,Carol Gonzalez,6,Ambassador,2023-03-30 00:00:00,Active,,2.55,0.025
37,Eric Miller,192,Cashier,2021-05-07 00:00:00,Active,,4.44,0.015
38,Matthew Perez,192,Cashier,2025-06-15 00:00:00,Active,,0.34,0.01
39,John Sanchez,192,Ambassador,2021-07-15 00:00:00,Active,,4.26,0.03
40,Kimberly Rogers,192,Senior Ambassador,2024-04-12 00:00:00,Active,,1.51,0.035
41,Eric Walker,192,Ambassador,2023-04-29 00:00:00,Active,,2.47,0.025
42,Margaret Robinson,192,Cashier,2022-04-29 00:00:00,Active,,3.47,0.015
43,Linda Bailey,192,Ambassador,2021-11-11 00:00:00,Active,,3.93,0.03
44,Laura Lopez,178,Cashier,2023-04-12 00:00:00,Active,,2.51,0.0125
45,Timothy Rivera,178,Ambassador,2018-11-20 00:00:00,Terminated,2020-06-05 00:00:00,6.91,0.035
46,Amanda Kim,178,Cashier,2024-12-25 00:00:00,Active,,0.81,0.01
47,Amanda Murphy,178,Senior Ambassador,2019-07-06 00:00:00,Active,,6.28,0.045
48,Melissa Reyes,178,Ambassador,2025-09-20 00:00:00,Terminated,2025-10-06 00:00:00,0.07,0.02
49,Nicholas Richardson,498,Cashier,2018-10-01 00:00:00,Active,,7.04,0.0175
50,Ashley Roberts,498,Cashier,2017-02-08 00:00:00,Terminated,2025-10-07 00:00:00,8.68,0.0175
51,Jennifer Clark,498,Ambassador,2024-02-07 00:00:00,Active,,1.69,0.025
52,Kimberly Hill,498,Ambassador,2020-04-14 00:00:00,Terminated,2025-06-23 00:00:00,5.51,0.035
53,Brian Roberts,498,Lead,2020-06-11 00:00:00,Active,,5.35,0.06
54,Emma Williams,498,Ambassador,2021-03-27 00:00:00,Terminated,2025-08-04 00:00:00,4.56,0.03
55,Donna Phillips,498,Ambassador,2024-10-05 00:00:00,Active,,1.03,0.025
56,Nancy Gomez,498,Senior Ambassador,2015-07-13 00:00:00,Active,,10.26,0.045
57,Susan Taylor,498,Cashier,2025-10-02 00:00:00,Terminated,2025-10-14 00:00:00,0.04,0.01
58,Donald Thompson,498,Cashier,2018-06-15 00:00:00,Active,,7.34,0.0175
59,Jonathan Nelson,589,Cashier,2017-02-02 00:00:00,Terminated,2022-06-26 00:00:00,8.7,0.0175
60,Mary Cox,589,Senior Ambassador,2018-09-18 00:00:00,Terminated,2024-04-13 00:00:00,7.08,0.045
61,David Rogers,589,Ambassador,2012-08-19 00:00:00,Active,,13.16,0.035
62,Lisa Anderson,589,Cashier,2015-03-23 00:00:00,Active,,10.57,0.0175
63,Jennifer Parker,589,Ambassador,2012-02-28 00:00:00,Active,,13.63,0.035
64,Brenda Adams,589,Ambassador,2017-03-06 00:00:00,Terminated,2023-05-24 00:00:00,8.61,0.035
65,Nicholas Ramos,589,Cashier,2021-09-23 00:00:00,Active,,4.06,0.015
66,Andrew Collins,589,Cashier,2020-09-29 00:00:00,Active,,5.05,0.0175
67,James Flores,589,Ambassador,2015-03-08 00:00:00,Active,,10.61,0.035
68,Nancy Thomas,589,Ambassador,2021-07-11 00:00:00,Active,,4.27,0.03
69,Mark Miller,589,Senior Ambassador,2019-11-22 00:00:00,Active,,5.9,0.045
70,Ronald Wilson,36,Ambassador,2023-12-31 00:00:00,Active,,1.79,0.025
71,Stephanie Ramirez,36,Lead,2015-06-27 00:00:00,Active,,10.31,0.06
72,Eric Ramirez,36,Cashier,2025-08-19 00:00:00,Active,,0.16,0.01
73,George Ward,36,Ambassador,2014-11-10 00:00:00,Active,,10.93,0.035
74,Kevin Cox,36,Senior Ambassador,2013-11-03 00:00:00,Terminated,2024-08-27 00:00:00,11.95,0.045
75,Joshua Campbell,36,Cashier,2014-02-25 00:00:00,Terminated,2015-04-12 00:00:00,11.64,0.0175
76,Scott Johnson,318,Cashier,2022-06-26 00:00:00,Active,,3.31,0.015
77,Thomas Green,318,Ambassador,2022-11-01 00:00:00,Active,,2.96,0.025
78,Jeffrey Campbell,318,Ambassador,2021-03-11 00:00:00,Active,,4.6,0.03
79,Jonathan Green,318,Ambassador,2024-06-08 00:00:00,Active,,1.36,0.025
80,Jennifer Martinez,318,Ambassador,2022-09-06 00:00:00,Active,,3.11,0.03
81,John Cooper,269,Cashier,2022-08-31 00:00:00,Terminated,2024-08-20 00:00:00,3.13,0.015
82,Amanda Morales,269,Senior Ambassador,2022-07-11 00:00:00,Active,,3.27,0.04
83,Lisa Morgan,269,Ambassador,2021-05-09 00:00:00,Terminated,2024-02-07 00:00:00,4.44,0.03
84,Eric Campbell,269,Cashier,2025-07-13 00:00:00,Terminated,2025-09-13 00:00:00,0.26,0.01
85,Andrew Taylor,269,Cashier,2022-06-05 00:00:00,Active,,3.37,0.015
86,Michelle Gutierrez,269,Cashier,2022-06-21 00:00:00,Terminated,2023-12-20 00:00:00,3.32,0.015
87,Kathleen Garcia,269,Ambassador,2021-11-11 00:00:00,Active,,3.93,0.03
88,Nicholas Smith,269,Lead,2022-04-16 00:00:00,Active,,3.5,0.05
89,Jason Lee,269,Cashier,2025-05-04 00:00:00,Active,,0.45,0.01
90,Joshua Perez,269,Cashier,2024-10-16 00:00:00,Active,,1.0,0.0125
91,Pamela Wright,375,Senior Ambassador,2022-01-14 00:00:00,Active,,3.75,0.04
92,Karen Stewart,375,Cashier,2024-03-19 00:00:00,Active,,1.58,0.0125
93,Patricia Cook,375,Cashier,2025-09-25 00:00:00,Active,,0.06,0.01
94,Scott Collins,375,Senior Ambassador,2022-08-25 00:00:00,Active,,3.14,0.04
95,Helen Evans,375,Ambassador,2020-01-07 00:00:00,Active,,5.77,0.035
96,Deborah Howard,375,Cashier,2020-08-07 00:00:00,Active,,5.19,0.0175
97,Scott Lee,375,Cashier,2023-01-20 00:00:00,Terminated,2025-03-03 00:00:00,2.74,0.0125
98,Sandra Johnson,375,Cashier,2019-10-04 00:00:00,Active,,6.03,0.0175
99,Karen Torres,375,Cashier,2024-12-03 00:00:00,Active,,0.87,0.01
100,Susan Lopez,375,Ambassador,2021-06-28 00:00:00,Terminated,2022-02-09 00:00:00,4.3,0.03
101,James Miller,758,Cashier,2013-05-30 00:00:00,Active,,12.38,0.0175
102,Carol Miller,758,Cashier,2021-12-08 00:00:00,Active,,3.86,0.015
103,Shirley Hill,758,Cashier,2024-07-02 00:00:00,Active,,1.29,0.0125
104,Cynthia Brown,758,Cashier,2023-07-13 00:00:00,Active,,2.26,0.0125
105,Donald Rogers,758,Senior Ambassador,2016-07-05 00:00:00,Active,,9.28,0.045
