Date Value,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Manufacturer,Product Name,TY Sales,LY Sales,LLY Sales,TY Quantity,LY Quantity,LLY Quantity,LY Discount,LLY Discount,TY Discount,LY Profit,TY Profit,LLY Profit
4/5/2024,US-2024-167010,4/10/2024,Standard Class,VT-21700,Valerie Takahito,Home Office,United States,Philadelphia,Pennsylvania,19143,East,FUR-FU-10001037,Furniture,Furnishings,DAX,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",7.584,0,0,1,0,0,0,0,0.2,0,2.37,0
6/27/2026,US-2025-154767,6/30/2025,Second Class,BP-11155,Becky Pak,Consumer,United States,Paterson,New Jersey,7501,East,OFF-AP-10000595,Office Supplies,Appliances,Other,Disposable Triple-Filter Dust Bags,0,8.74,0,0,2,0,0,0,0,2.2724,0,0
10/27/2026,US-2026-151225,10/29/2026,First Class,JM-15655,Jim Mitchum,Corporate,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft,Chromcraft Rectangular Conference Tables,189.576,0,0,1,0,0,0,0,0.2,0,9.478800000,0
3/16/2024,US-2024-145352,3/22/2024,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,0,0,5,0,0,0,0,0,0,3177.475,0
4/10/2025,US-2023-118486,4/8/2023,First Class,SD-20485,Shirley Daniels,Home Office,United States,Philadelphia,Pennsylvania,19143,East,FUR-TA-10001039,Furniture,Tables,KI,KI Adjustable-Height Table,0,0,154.764,0,0,3,0,0.4,0,0,0,-36.1116
9/21/2025,US-2023-131947,9/22/2023,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,97477,West,OFF-AR-10001473,Office Supplies,Art,Newell,Newell 313,0,0,5.248,0,0,2,0,0.2,0,0,0,0.4592
12/9/2025,US-2025-131114,12/13/2025,Second Class,RW-19630,Rob Williams,Corporate,United States,Chicago,Illinois,60610,Central,OFF-SU-10001664,Office Supplies,Supplies,Acme,Acme Office Executive Series Stainless Steel Trimmers,20.568,0,0,3,0,0,0,0,0.2,0,1.5426,0
12/15/2025,US-2025-113600,12/17/2025,Second Class,SH-20395,Shahid Hopkins,Consumer,United States,Cuyahoga Falls,Ohio,44221,East,OFF-BI-10000201,Office Supplies,Binders,Avery,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",2.214,0,0,3,0,0,0,0,0.7,0,-1.476,0
11/26/2024,US-2023-154781,11/26/2023,Standard Class,SC-20680,Steve Carroll,Home Office,United States,San Francisco,California,94110,West,OFF-PA-10001609,Office Supplies,Paper,TOPS,Tops Wirebound Message Log Books,0,6.58,0,0,2,0,0,0,0,3.0268,0,0
3/6/2025,US-2025-110898,3/12/2025,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Chicago,Illinois,60623,Central,FUR-FU-10003773,Furniture,Furnishings,Eldon,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,159.04,0,0,5,0,0,0,0,0.6,0,-194.824,0
7/9/2026,US-2026-121083,7/15/2026,Standard Class,JF-15190,Jamie Frazer,Consumer,United States,Manchester,Connecticut,6040,East,OFF-PA-10001497,Office Supplies,Paper,Xerox,Xerox 1914,274.8,0,0,5,0,0,0,0,0,0,134.652,0
11/4/2025,US-2023-106439,11/4/2023,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003996,Office Supplies,Storage,Other,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",0,0,80.3,0,0,5,0,0,0,0,0,20.878
4/23/2026,US-2026-104010,4/25/2026,First Class,TD-20995,Tamara Dahlen,Consumer,United States,New York City,New York,10011,East,OFF-SU-10001218,Office Supplies,Supplies,Fiskars,Fiskars Softgrip Scissors,54.9,0,0,5,0,0,0,0,0,0,15.372,0
12/24/2025,US-2023-103100,12/23/2023,First Class,AB-10105,Adrian Barton,Consumer,United States,Indianapolis,Indiana,46203,Central,OFF-BI-10004600,Office Supplies,Binders,Ibico,Ibico Ibimaster 300 Manual Binding System,0,0,1103.97,0,0,3,0,0,0,0,0,496.7865
4/13/2023,US-2023-167724,4/18/2023,Standard Class,BF-11170,Ben Ferrer,Home Office,United States,Baltimore,Maryland,21215,East,OFF-LA-10002368,Office Supplies,Labels,Avery,Avery 479,7.83,0,0,3,0,0,0,0,0,0,3.6018,0
9/12/2025,US-2023-107818,9/14/2023,Standard Class,MC-17275,Marc Crier,Consumer,United States,Pasco,Washington,99301,West,OFF-AR-10003045,Office Supplies,Art,Prang,Prang Colored Pencils,0,0,5.88,0,0,2,0,0,0,0,0,2.646
8/6/2025,US-2024-141936,8/12/2024,Standard Class,PN-18775,Parhena Norris,Home Office,United States,Bakersfield,California,93309,West,OFF-BI-10002194,Office Supplies,Binders,Cardinal,Cardinal Hold-It CD Pocket,0,19.152,0,0,3,0,0.2,0,0,6.4638,0,0
3/18/2026,US-2026-119438,3/23/2026,Standard Class,CD-11980,Carol Darley,Consumer,United States,Tyler,Texas,75701,Central,FUR-FU-10003553,Furniture,Furnishings,Howard Miller,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",82.524,0,0,3,0,0,0,0,0.6,0,-41.262,0
9/11/2025,US-2025-150007,9/16/2025,Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,Chicago,Illinois,60653,Central,OFF-BI-10004141,Office Supplies,Binders,Other,Insertable Tab Indexes For Data Binders,1.908,0,0,3,0,0,0,0,0.8,0,-3.2436,0
5/25/2026,US-2025-119186,5/26/2025,Same Day,MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106,Central,OFF-PA-10004040,Office Supplies,Paper,Universal,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),0,14.352,0,0,3,0,0.2,0,0,5.2026,0,0
